date,value
2016-06-01,1.42
2016-06-02,1.358
2016-06-03,1.696
2016-06-06,1.559
2016-06-07,1.491
2016-06-08,1.3755
2016-06-10,1.267
2016-06-13,1.278
2016-06-14,1.145
2016-06-15,1.2235
2016-06-16,1.2045
2016-06-17,2.005
2016-06-20,1.995
2016-06-21,1.707
2016-06-22,1.731
2016-06-23,1.8245
2016-06-24,1.9235
2016-06-27,1.4155
2016-06-28,0.9095
2016-06-29,0.7955
2016-06-30,0.981
2016-07-04,1.3705
2016-07-05,1.602
2016-07-06,1.3325
2016-07-07,1.804
2016-07-08,2.022
2016-07-11,2.2225
2016-07-12,2.373
2016-07-13,4.831
2016-07-14,2.7025
2016-07-15,1.518
2016-07-18,1.4105
2016-07-19,1.4125
2016-07-20,1.669
2016-07-21,2.2085
2016-07-22,2.734
2016-07-25,2.459
2016-07-26,1.7015
2016-07-27,1.64233
2016-07-28,1.43
2016-07-29,1.23783
2016-08-01,1.302
2016-08-03,1.21917
2016-08-04,1.30767
2016-08-05,1.502
2016-08-08,1.436
2016-08-09,1.3165
2016-08-10,1.3325
2016-08-11,1.81483
2016-08-12,1.463
2016-08-15,1.468
2016-08-16,1.351
2016-08-17,1.39383
2016-08-18,1.333
2016-08-19,1.369
2016-08-22,1.45417
2016-08-23,1.31267
2016-08-24,1.492
2016-08-25,1.4505
2016-08-26,1.408
2016-08-29,1.46167
2016-08-30,1.3775
2016-08-31,1.373
2016-09-01,1.41933
2016-09-02,1.55017
2016-09-05,1.80667
2016-09-06,1.79717
2016-09-07,1.56767
2016-09-08,5.446
2016-09-09,4.71267
2016-09-12,5.5155
2016-09-13,2.838
2016-09-14,8.16167
2016-09-15,7.95
2016-09-19,23.683
2016-09-20,12.13533
2016-09-21,3.87
2016-09-22,1.4625
2016-09-23,1.5505
2016-09-26,2.51
2016-09-27,1.30483
2016-09-28,1.15617
2016-09-29,1.3245
2016-09-30,1.722
2016-10-03,1.36433
2016-10-04,1.3145
2016-10-05,1.2915
2016-10-06,1.277
2016-10-07,1.28217
2016-10-11,2.006
2016-10-12,2.82838
2016-10-13,3.84217
2016-10-14,3.15083
2016-10-17,2.64967
2016-10-18,2.728
2016-10-19,1.80317
2016-10-20,1.68233
2016-10-24,2.2488
2016-10-25,1.7285
2016-10-26,1.816
2016-10-27,2.02
2016-10-28,1.9125
2016-10-31,1.631
2016-11-01,1.5355
2016-11-02,1.9295
2016-11-03,1.99914
2016-11-04,1.9475
2016-11-07,2.32917
2016-11-08,2.47898
2016-11-09,1.89783
2016-11-10,1.79983
2016-11-11,1.59383
2016-11-14,3.52932
2016-11-15,2.65617
2016-11-16,2.73681
2016-11-17,1.57556
2016-11-18,2.024
2016-11-21,2.19267
2016-11-22,1.55631
2016-11-23,1.56117
2016-11-24,1.48383
2016-11-25,1.3905
2016-11-28,1.78839
2016-11-29,2.63204
2016-11-30,2.94033
2016-12-01,4.81833
2016-12-02,7.159
2016-12-05,12.38133
2016-12-06,6.17033
2016-12-07,3.52417
2016-12-08,3.57767
2016-12-09,3.30586
2016-12-12,5.467
2016-12-13,4.60817
2016-12-14,7.32233
2016-12-15,11.76367
2016-12-16,10.0
2016-12-19,10.0
2016-12-20,10.81733
2016-12-21,6.49467
2016-12-22,6.60567
2016-12-23,6.572
2016-12-28,15.18333
2016-12-29,7.46117
2016-12-30,12.81267
2017-01-03,17.7584
2017-01-04,16.94767
2017-01-05,38.335
2017-01-06,61.333
2017-01-09,14.05133
2017-01-10,6.81517
2017-01-11,2.761
2017-01-12,2.68528
2017-01-13,7.56667
2017-01-16,2.863
2017-01-17,2.15967
2017-01-18,2.1795
2017-01-19,4.3083
2017-01-20,2.2221
2017-01-23,2.42333
2017-01-24,2.222
2017-01-25,2.40467
2017-01-26,2.28583
2017-01-27,2.41533
